       latitude      longitude observation     resiual  prediction  correction
       34.83617      138.33122     0.01200     0.03775    -0.02575     0.00000
       37.23112      138.33357     0.04900     0.02788     0.02112     0.00000
       36.13311      138.36204     0.01880     0.02815    -0.00935     0.00000
       36.26099      138.36604    -0.01060    -0.00406    -0.00654     0.00000
       35.10346      138.36870    -0.01620     0.00836    -0.02456     0.00000
       38.02369      138.36988     0.02690    -0.01664     0.04354     0.00000
       34.99052      138.37830     0.02170     0.04727    -0.02557     0.00000
       36.80171      138.43617     0.03600     0.02906     0.00694     0.00000
       35.90493      138.44421     0.01000     0.02547    -0.01547     0.00000
       35.44358      138.44525     0.00190     0.02444    -0.02254     0.00000
       35.28946      138.44570    -0.01520     0.00905    -0.02425     0.00000
       35.67369      138.45682    -0.01770     0.00193    -0.01963     0.00000
       37.10708      138.45736    -0.03350    -0.04977     0.01627     0.00000
       36.13064      138.46097    -0.01490    -0.00368    -0.01122     0.00000
       38.06328      138.47168     0.06590     0.02078     0.04512     0.00000
       36.28471      138.49928    -0.02470    -0.01633    -0.00837     0.00000
       38.31935      138.51309     0.03510    -0.01598     0.05108     0.00000
       34.98650      138.51568     0.00900     0.03702    -0.02802     0.00000
       37.34854      138.51637     0.01810    -0.00565     0.02375     0.00000
       35.06741      138.52471    -0.00760     0.02004    -0.02764     0.00000
       36.50800      138.55271     0.03280     0.03634    -0.00354     0.00000
       35.36208      138.56343    -0.01560     0.01020    -0.02580     0.00000
       37.39768      138.57440     0.01440    -0.01062     0.02502     0.00000
       35.97415      138.58303    -0.00440     0.01259    -0.01699     0.00000
       35.59034      138.58330    -0.01990     0.00353    -0.02343     0.00000
       36.61632      138.59145    -0.00350    -0.00237    -0.00113     0.00000
       35.46769      138.60687     0.02950     0.05501    -0.02551     0.00000
       37.07913      138.60872     0.01810     0.00447     0.01363     0.00000
       35.11715      138.60997    -0.01230     0.01663    -0.02893     0.00000
       35.20318      138.61699     0.04560     0.07399    -0.02839     0.00000
       36.85669      138.62425     0.01530     0.00945     0.00585     0.00000
       37.21211      138.63460     0.02320     0.00522     0.01798     0.00000
       36.34601      138.63780     0.00590     0.01555    -0.00965     0.00000
       35.64952      138.69038     0.00930     0.03427    -0.02497     0.00000
       35.74687      138.69513     0.01460     0.03820    -0.02360     0.00000
       37.53583      138.70694     0.01510    -0.01389     0.02899     0.00000
       35.17359      138.72154     0.01310     0.04390    -0.03080     0.00000
       35.36077      138.72730    -0.01570     0.01362    -0.02932     0.00000
       34.69025      138.76279    -0.02930     0.00449    -0.03379     0.00000
       35.30554      138.77067    -0.00910     0.02171    -0.03081     0.00000
