       latitude      longitude observation     resiual  prediction  correction
       37.31987      139.02025     0.52560    -0.07762     0.60322     0.00000
       35.51187      139.02578     0.12120    -0.04861     0.16981     0.00000
       35.41535      139.04518     0.10460    -0.05120     0.15580     0.00000
       35.24552      139.04934     0.07950    -0.05411     0.13361     0.00000
       36.53926      139.05673     0.31760    -0.07989     0.39749     0.00000
       37.66230      139.05912     0.60510    -0.08556     0.69066     0.00000
       36.83735      139.06085     0.42080    -0.06249     0.48329     0.00000
       36.23467      139.06664     0.23340    -0.08384     0.31724     0.00000
       34.94976      139.06990     0.05720    -0.04479     0.10199     0.00000
       37.75206      139.07391     0.59640    -0.11571     0.71211     0.00000
       35.98689      139.07569     0.19740    -0.06166     0.25906     0.00000
       35.00685      139.08197     0.06480    -0.04245     0.10725     0.00000
       34.97186      139.10169     0.04520    -0.05841     0.10361     0.00000
       35.14860      139.11044     0.05380    -0.06796     0.12176     0.00000
       37.54034      139.11145     0.62630    -0.05889     0.68519     0.00000
       34.87847      139.12436     0.02800    -0.06677     0.09477     0.00000
       34.93931      139.13116     0.04990    -0.05022     0.10012     0.00000
       34.20048      139.13445     0.00260    -0.04876     0.05136     0.00000
       34.23991      139.13757     0.01090    -0.04222     0.05312     0.00000
       35.26860      139.14241     0.07830    -0.05748     0.13578     0.00000
       35.61027      139.15723     0.10750    -0.07926     0.18676     0.00000
       35.33621      139.16260     0.08000    -0.06451     0.14451     0.00000
       35.04063      139.17103     0.05070    -0.05867     0.10937     0.00000
       35.88405      139.18220     0.18170    -0.05918     0.24088     0.00000
       35.42852      139.20487     0.10820    -0.04928     0.15748     0.00000
       34.33312      139.21094     0.00940    -0.04696     0.05636     0.00000
       36.76969      139.22490     0.43210    -0.06538     0.49748     0.00000
       37.82816      139.22604     0.70260    -0.08549     0.78809     0.00000
       37.15762      139.24711     0.55290    -0.07669     0.62959     0.00000
       38.46539      139.25335     0.71290    -0.12609     0.83899     0.00000
       36.26769      139.25464     0.28520    -0.05827     0.34347     0.00000
       34.37183      139.25791     0.02980    -0.02767     0.05747     0.00000
       35.30490      139.26269     0.09140    -0.04799     0.13939     0.00000
       35.72376      139.26813     0.16230    -0.04700     0.20930     0.00000
       36.00374      139.26933     0.23150    -0.04111     0.27261     0.00000
       34.51963      139.27093     0.02740    -0.03824     0.06564     0.00000
       35.48264      139.32258     0.11030    -0.05519     0.16549     0.00000
       36.42163      139.33039     0.34250    -0.05776     0.40026     0.00000
       36.12095      139.34517     0.25850    -0.05003     0.30853     0.00000
       37.92938      139.35146     0.77510    -0.08864     0.86374     0.00000
       34.73761      139.35859     0.06320    -0.01554     0.07874     0.00000
       37.30280      139.36435     0.62960    -0.08842     0.71802     0.00000
       35.80080      139.36597     0.18380    -0.04363     0.22743     0.00000
       35.39149      139.36606     0.09520    -0.05551     0.15071     0.00000
       35.61643      139.36990     0.14010    -0.04904     0.18914     0.00000
       34.78442      139.38139     0.04500    -0.03691     0.08191     0.00000
       37.03693      139.40223     0.56940    -0.06990     0.63930     0.00000
       34.68679      139.43322     0.04310    -0.03016     0.07326     0.00000
       34.76154      139.43402     0.04340    -0.03548     0.07888     0.00000
       42.06050      139.44615     0.08180    -0.08565     0.16745     0.00000
